Date,^GSPC,DJI,Nikkei,IBEX,VIX
2014-05-20,1872.8299560546875,16374.3095703125,14075.25,10453.7890625,12.960000038146973
2014-05-21,1888.030029296875,16533.060546875,14042.169921875,10531.3896484375,11.90999984741211
2014-05-22,1892.489990234375,16543.080078125,14337.7900390625,10520.5888671875,12.029999732971191
2014-05-23,1900.530029296875,16606.26953125,14462.169921875,10558.8896484375,11.359999656677246
2014-05-27,1911.9100341796875,16675.5,14636.51953125,10714.189453125,11.510000228881836
2014-05-28,1909.780029296875,16633.1796875,14670.9501953125,10757.189453125,11.680000305175781
2014-05-29,1920.030029296875,16698.740234375,14681.7197265625,10734.7890625,11.569999694824219
2014-05-30,1923.5699462890625,16717.169921875,14632.3798828125,10798.689453125,11.399999618530273
2014-06-02,1924.969970703125,16743.630859375,14935.919921875,10827.3896484375,11.579999923706055
2014-06-03,1924.239990234375,16722.33984375,15034.25,10776.689453125,11.869999885559082
2014-06-04,1927.8800048828125,16737.529296875,15067.9599609375,10755.5888671875,12.079999923706055
2014-06-05,1940.4599609375,16836.109375,15079.3701171875,10876.3896484375,11.680000305175781
2014-06-06,1949.43994140625,16924.279296875,15077.240234375,11064.2890625,10.729999542236328
2014-06-09,1951.27001953125,16943.099609375,15124.0,11164.087890625,11.149999618530273
2014-06-10,1950.7900390625,16945.919921875,14994.7998046875,11153.48828125,10.989999771118164
2014-06-11,1943.8900146484375,16843.880859375,15069.48046875,11074.8896484375,11.600000381469727
2014-06-12,1930.1099853515625,16734.189453125,14973.5302734375,11088.48828125,12.5600004196167
2014-06-13,1936.1600341796875,16775.740234375,15097.83984375,11113.6884765625,12.180000305175781
2014-06-16,1937.780029296875,16781.009765625,14933.2900390625,11008.189453125,12.649999618530273
2014-06-17,1941.989990234375,16808.490234375,14975.9697265625,11058.4892578125,12.0600004196167
2014-06-18,1956.97998046875,16906.619140625,15115.7998046875,11112.2880859375,10.609999656677246
2014-06-19,1959.47998046875,16921.4609375,15361.16015625,11187.7880859375,10.619999885559082
2014-06-20,1962.8699951171875,16947.080078125,15349.419921875,11155.087890625,10.850000381469727
2014-06-23,1962.6099853515625,16937.259765625,15369.2802734375,11118.2880859375,10.979999542236328
2014-06-24,1949.97998046875,16818.130859375,15376.240234375,11105.888671875,12.130000114440918
2014-06-25,1959.530029296875,16867.509765625,15266.6103515625,10966.689453125,11.59000015258789
2014-06-26,1957.219970703125,16846.130859375,15308.490234375,10988.9892578125,11.630000114440918
2014-06-27,1960.9599609375,16851.83984375,15095.0,10959.8896484375,11.260000228881836
2014-06-30,1960.22998046875,16826.599609375,15162.099609375,10923.4892578125,11.569999694824219
2014-07-01,1973.3199462890625,16956.0703125,15326.2001953125,11007.7890625,11.149999618530273
2014-07-02,1974.6199951171875,16976.240234375,15369.9697265625,11016.189453125,10.819999694824219
2014-07-03,1985.43994140625,17068.259765625,15348.2900390625,11089.98828125,10.319999694824219
2014-07-07,1977.6500244140625,17024.2109375,15379.4404296875,10888.4892578125,11.329999923706055
2014-07-08,1963.7099609375,16906.619140625,15314.41015625,10689.0888671875,11.979999542236328
2014-07-09,1972.8299560546875,16985.609375,15302.650390625,10746.8896484375,11.649999618530273
2014-07-10,1964.6800537109375,16915.0703125,15216.4697265625,10533.5888671875,12.59000015258789
2014-07-11,1967.5699462890625,16943.810546875,15164.0400390625,10538.7890625,12.079999923706055
2014-07-14,1977.0999755859375,17055.419921875,15296.8203125,10606.2890625,11.819999694824219
2014-07-15,1973.280029296875,17060.6796875,15395.16015625,10475.8896484375,11.960000038146973
2014-07-16,1981.5699462890625,17138.19921875,15379.2998046875,10668.3896484375,11.0
